Time,Phuong,year,month,quarter,month_sin,month_cos,GiaTri_log,GiaTri,GiaTri_log_lag1,GiaTri_log_lag2,GiaTri_log_lag3,GiaTri_log_roll3,GiaTri_log_roll6
2025-03-01, Phường Bến Nghé,2025,3,1,1.0,6.123233995736766e-17,17.499749657637988,39814814.81481481,20.622082769291286,21.001881169227662,20.874746416921436,20.83290345181346,20.464625731644617
2025-04-01, Phường Bến Nghé,2025,4,2,0.8660254037844387,-0.4999999999999998,20.174180302283187,577477651.2929214,17.499749657637988,20.622082769291286,21.001881169227662,19.70790453205231,20.035395376778144
2025-05-01, Phường Bến Nghé,2025,5,2,0.49999999999999994,-0.8660254037844387,20.433675720173575,748570330.1287345,20.174180302283187,17.499749657637988,20.622082769291286,19.43200424307082,20.030249871479906
2025-06-01, Phường Bến Nghé,2025,6,2,1.2246467991473532e-16,-1.0,20.710049470822113,986870585.554796,20.433675720173575,20.174180302283187,17.499749657637988,19.369201893364917,20.10105267258919
2025-07-01, Phường Bến Nghé,2025,7,3,-0.4999999999999997,-0.8660254037844388,20.800473568316942,1080266457.3181365,20.710049470822113,20.433675720173575,20.174180302283187,20.43930183109296,20.073603181572636
2025-08-01, Phường Bến Nghé,2025,8,3,-0.8660254037844384,-0.5000000000000004,24.438435761730442,41065564547.74093,20.800473568316942,20.710049470822113,20.433675720173575,20.648066253104208,20.040035248087516
2021-07-01, Phường Bến Thành,2021,7,3,-0.4999999999999997,-0.8660254037844388,20.163866636655044,571552348.2004881,20.210125263063944,20.19939218261061,20.16869948016862,20.19273897528106,20.172745468055616
2021-08-01, Phường Bến Thành,2021,8,3,-0.8660254037844384,-0.5000000000000004,20.71151943883583,988322320.4912608,20.163866636655044,20.210125263063944,20.19939218261061,20.1911280274432,20.163013979314638
2021-09-01, Phường Bến Thành,2021,9,3,-1.0,-1.8369701987210297e-16,20.25639675374538,626962163.9194998,20.71151943883583,20.163866636655044,20.210125263063944,20.361837112851603,20.2583830595342
2021-10-01, Phường Bến Thành,2021,10,4,-0.8660254037844386,0.5000000000000001,20.129954301117316,552494645.1689656,20.25639675374538,20.71151943883583,20.163866636655044,20.37726094307875,20.284999959179903
2021-11-01, Phường Bến Thành,2021,11,4,-0.5000000000000004,0.8660254037844384,20.439433857457253,752893134.5686165,20.129954301117316,20.25639675374538,20.71151943883583,20.365956831232843,20.27854242933802
2021-12-01, Phường Bến Thành,2021,12,4,-2.4492935982947064e-16,1.0,20.316855937653173,666037102.3263947,20.439433857457253,20.129954301117316,20.25639675374538,20.275261637439986,20.318549375145796
2022-01-01, Phường Bến Thành,2022,1,1,0.49999999999999994,0.8660254037844387,19.98743042091724,479105038.71001446,20.316855937653173,20.439433857457253,20.129954301117316,20.29541469874258,20.336337820910668
2022-02-01, Phường Bến Thành,2022,2,1,0.8660254037844386,0.5000000000000001,20.538445805448724,831253868.9053425,19.98743042091724,20.316855937653173,20.439433857457253,20.24790673867589,20.306931784954365
2022-03-01, Phường Bến Thành,2022,3,1,1.0,6.123233995736766e-17,20.038339926132185,504127577.5930537,20.538445805448724,19.98743042091724,20.316855937653173,20.280910721339712,20.27808617938985
2022-04-01, Phường Bến Thành,2022,4,2,0.8660254037844387,-0.4999999999999998,20.335894574482325,678839019.6891413,20.038339926132185,20.538445805448724,19.98743042091724,20.188072050832716,20.24174337478765
2022-05-01, Phường Bến Thành,2022,5,2,0.49999999999999994,-0.8660254037844387,20.565002028556247,853624557.9412254,20.335894574482325,20.038339926132185,20.538445805448724,20.304226768687744,20.276066753681818
2022-06-01, Phường Bến Thành,2022,6,2,1.2246467991473532e-16,-1.0,20.087054420953752,529293903.6827435,20.565002028556247,20.335894574482325,20.038339926132185,20.313078843056918,20.296994782198315
2022-07-01, Phường Bến Thành,2022,7,3,-0.4999999999999997,-0.8660254037844388,20.127435989923633,551105042.1778448,20.087054420953752,20.565002028556247,20.335894574482325,20.329317007997442,20.258694529415077
2022-08-01, Phường Bến Thành,2022,8,3,-0.8660254037844384,-0.5000000000000004,21.256941994360172,1705189344.0993447,20.127435989923633,20.087054420953752,20.565002028556247,20.259830813144543,20.282028790916144
2022-09-01, Phường Bến Thành,2022,9,3,-1.0,-1.8369701987210297e-16,20.272582986938886,637192894.8577541,21.256941994360172,20.127435989923633,20.087054420953752,20.49047746841252,20.401778155734718
2022-10-01, Phường Bến Thành,2022,10,4,-0.8660254037844386,0.5000000000000001,20.419348027880353,737921513.4166465,20.272582986938886,21.256941994360172,20.127435989923633,20.552320323740897,20.44081866586917
2022-11-01, Phường Bến Thành,2022,11,4,-0.5000000000000004,0.8660254037844384,20.28966581810455,648171459.0146801,20.419348027880353,20.272582986938886,21.256941994360172,20.649624336393135,20.45472757476884
2022-12-01, Phường Bến Thành,2022,12,4,-2.4492935982947064e-16,1.0,20.38489971241474,712934216.4025824,20.28966581810455,20.419348027880353,20.272582986938886,20.327198944307927,20.408838206360223
2023-01-01, Phường Bến Thành,2023,1,1,0.49999999999999994,0.8660254037844387,20.33907081770807,680998605.3991326,20.38489971241474,20.28966581810455,20.419348027880353,20.364637852799877,20.45847908827039
2023-02-01, Phường Bến Thành,2023,2,1,0.8660254037844386,0.5000000000000001,20.473254869929594,778792240.9969535,20.33907081770807,20.38489971241474,20.28966581810455,20.337878782742454,20.493751559567794
2023-03-01, Phường Bến Thành,2023,3,1,1.0,6.123233995736766e-17,20.327794195758475,673362377.9116046,20.473254869929594,20.33907081770807,20.38489971241474,20.399075133350802,20.363137038829365
